"time","head","temp","pres"

0.000000000E+00,0.23008673E+04,0.48960398E+02,0.12101707E+02

0.250000000E+00,0.22409231E+04,0.48126089E+02,0.11409911E+02

0.500000000E+00,0.22395943E+04,0.48201391E+02,0.11396649E+02

0.750000000E+00,0.22391712E+04,0.48220137E+02,0.11392452E+02

0.100000000E+01,0.22389333E+04,0.48221344E+02,0.11390138E+02

0.125000000E+01,0.22387748E+04,0.48215510E+02,0.11388630E+02

0.150000000E+01,0.22386597E+04,0.48206077E+02,0.11387560E+02

0.175000000E+01,0.22385708E+04,0.48194622E+02,0.11386754E+02

0.200000000E+01,0.22384990E+04,0.48181996E+02,0.11386120E+02

0.225000000E+01,0.22384390E+04,0.48168697E+02,0.11385604E+02

0.250000000E+01,0.22383875E+04,0.48155026E+02,0.11385172E+02

0.275000000E+01,0.22383424E+04,0.48141170E+02,0.11384803E+02

0.300000000E+01,0.22383021E+04,0.48127249E+02,0.11384480E+02

0.325000000E+01,0.22382656E+04,0.48113340E+02,0.11384195E+02

0.350000000E+01,0.22382322E+04,0.48099494E+02,0.11383940E+02

0.375000000E+01,0.22382013E+04,0.48085743E+02,0.11383708E+02

0.400000000E+01,0.22381726E+04,0.48072107E+02,0.11383496E+02

0.425000000E+01,0.22381456E+04,0.48058600E+02,0.11383302E+02

0.450000000E+01,0.22381202E+04,0.48045228E+02,0.11383121E+02

0.475000000E+01,0.22380961E+04,0.48031995E+02,0.11382952E+02

0.500000000E+01,0.22380731E+04,0.48018902E+02,0.11382794E+02

0.525000000E+01,0.22380511E+04,0.48005949E+02,0.11382644E+02

0.550000000E+01,0.22380301E+04,0.47993133E+02,0.11382503E+02

0.575000000E+01,0.22380098E+04,0.47980451E+02,0.11382369E+02

0.600000000E+01,0.22379903E+04,0.47967902E+02,0.11382241E+02

0.625000000E+01,0.22379713E+04,0.47955480E+02,0.11382119E+02

0.650000000E+01,0.22379530E+04,0.47943184E+02,0.11382001E+02

0.675000000E+01,0.22379352E+04,0.47931008E+02,0.11381889E+02

0.700000000E+01,0.22379179E+04,0.47918950E+02,0.11381780E+02

0.725000000E+01,0.22379011E+04,0.47907006E+02,0.11381675E+02

0.750000000E+01,0.22378846E+04,0.47895172E+02,0.11381574E+02

0.775000000E+01,0.22378686E+04,0.47883446E+02,0.11381476E+02

0.800000000E+01,0.22378529E+04,0.47871823E+02,0.11381381E+02

0.825000000E+01,0.22378375E+04,0.47860300E+02,0.11381288E+02

0.850000000E+01,0.22378225E+04,0.47848876E+02,0.11381199E+02

0.875000000E+01,0.22378078E+04,0.47837546E+02,0.11381111E+02

0.900000000E+01,0.22377933E+04,0.47826308E+02,0.11381026E+02

0.925000000E+01,0.22377791E+04,0.47815159E+02,0.11380943E+02

0.950000000E+01,0.22377651E+04,0.47804097E+02,0.11380862E+02

0.975000000E+01,0.22377514E+04,0.47793119E+02,0.11380782E+02

0.100000000E+02,0.22377379E+04,0.47782224E+02,0.11380705E+02

0.102500000E+02,0.22377246E+04,0.47771408E+02,0.11380629E+02

0.105000000E+02,0.22377115E+04,0.47760670E+02,0.11380554E+02

0.107500000E+02,0.22376986E+04,0.47750008E+02,0.11380481E+02

0.110000000E+02,0.22376858E+04,0.47739420E+02,0.11380410E+02

0.112500000E+02,0.22376733E+04,0.47728903E+02,0.11380339E+02

0.115000000E+02,0.22376609E+04,0.47718457E+02,0.11380270E+02

0.117500000E+02,0.22376486E+04,0.47708079E+02,0.11380202E+02

0.120000000E+02,0.22376365E+04,0.47697768E+02,0.11380135E+02

0.122500000E+02,0.22376246E+04,0.47687522E+02,0.11380070E+02

0.125000000E+02,0.22376128E+04,0.47677339E+02,0.11380005E+02

0.127500000E+02,0.22376011E+04,0.47667220E+02,0.11379941E+02

0.130000000E+02,0.22375895E+04,0.47657160E+02,0.11379878E+02

0.132500000E+02,0.22375781E+04,0.47647161E+02,0.11379816E+02

0.135000000E+02,0.22375668E+04,0.47637220E+02,0.11379755E+02

0.137500000E+02,0.22375556E+04,0.47627336E+02,0.11379695E+02

0.140000000E+02,0.22375445E+04,0.47617508E+02,0.11379635E+02

0.142500000E+02,0.22375335E+04,0.47607734E+02,0.11379576E+02

0.145000000E+02,0.22375226E+04,0.47598014E+02,0.11379518E+02

0.147500000E+02,0.22375118E+04,0.47588347E+02,0.11379460E+02

0.150000000E+02,0.22375011E+04,0.47578731E+02,0.11379404E+02

0.152500000E+02,0.22374904E+04,0.47569166E+02,0.11379347E+02

0.155000000E+02,0.22374799E+04,0.47559651E+02,0.11379292E+02

0.157500000E+02,0.22374695E+04,0.47550184E+02,0.11379236E+02

0.160000000E+02,0.22374591E+04,0.47540765E+02,0.11379182E+02

0.162500000E+02,0.22374488E+04,0.47531393E+02,0.11379128E+02

0.165000000E+02,0.22374386E+04,0.47522067E+02,0.11379074E+02

0.167500000E+02,0.22374285E+04,0.47512787E+02,0.11379021E+02

0.170000000E+02,0.22374184E+04,0.47503551E+02,0.11378969E+02

0.172500000E+02,0.22374084E+04,0.47494358E+02,0.11378917E+02

0.175000000E+02,0.22373985E+04,0.47485209E+02,0.11378865E+02

0.177500000E+02,0.22373886E+04,0.47476102E+02,0.11378814E+02

0.180000000E+02,0.22373788E+04,0.47467037E+02,0.11378763E+02

0.182500000E+02,0.22373691E+04,0.47458013E+02,0.11378712E+02

0.185000000E+02,0.22373594E+04,0.47449029E+02,0.11378662E+02

0.187500000E+02,0.22373498E+04,0.47440084E+02,0.11378612E+02

0.190000000E+02,0.22373402E+04,0.47431179E+02,0.11378563E+02

0.192500000E+02,0.22373307E+04,0.47422313E+02,0.11378514E+02

0.195000000E+02,0.22373212E+04,0.47413484E+02,0.11378465E+02

0.197500000E+02,0.22373118E+04,0.47404692E+02,0.11378417E+02

0.200000000E+02,0.22373025E+04,0.47395938E+02,0.11378369E+02

0.202500000E+02,0.22372932E+04,0.47387219E+02,0.11378321E+02

0.205000000E+02,0.22372839E+04,0.47378537E+02,0.11378273E+02

0.207500000E+02,0.22372747E+04,0.47369889E+02,0.11378226E+02

0.210000000E+02,0.22372655E+04,0.47361276E+02,0.11378179E+02

0.212500000E+02,0.22372564E+04,0.47352698E+02,0.11378132E+02

0.215000000E+02,0.22372473E+04,0.47344153E+02,0.11378086E+02

0.217500000E+02,0.22372383E+04,0.47335642E+02,0.11378040E+02

0.220000000E+02,0.22372293E+04,0.47327163E+02,0.11377994E+02

0.222500000E+02,0.22372204E+04,0.47318717E+02,0.11377948E+02

0.225000000E+02,0.22372115E+04,0.47310303E+02,0.11377902E+02

0.227500000E+02,0.22372026E+04,0.47301920E+02,0.11377857E+02

0.230000000E+02,0.22371938E+04,0.47293569E+02,0.11377812E+02

0.232500000E+02,0.22371850E+04,0.47285248E+02,0.11377767E+02

0.235000000E+02,0.22371762E+04,0.47276958E+02,0.11377723E+02

0.237500000E+02,0.22371675E+04,0.47268698E+02,0.11377678E+02

0.240000000E+02,0.22371588E+04,0.47260468E+02,0.11377634E+02

0.242500000E+02,0.22371502E+04,0.47252267E+02,0.11377590E+02

0.245000000E+02,0.22371416E+04,0.47244094E+02,0.11377546E+02

0.247500000E+02,0.22371330E+04,0.47235951E+02,0.11377502E+02

0.250000000E+02,0.22371244E+04,0.47227835E+02,0.11377459E+02

0.252500000E+02,0.22371159E+04,0.47219748E+02,0.11377415E+02

0.255000000E+02,0.22371074E+04,0.47211688E+02,0.11377372E+02

0.257500000E+02,0.22370990E+04,0.47203655E+02,0.11377329E+02

0.260000000E+02,0.22370906E+04,0.47195649E+02,0.11377286E+02

0.262500000E+02,0.22370822E+04,0.47187670E+02,0.11377244E+02

0.265000000E+02,0.22370738E+04,0.47179717E+02,0.11377201E+02

0.267500000E+02,0.22370655E+04,0.47171791E+02,0.11377159E+02

0.270000000E+02,0.22370572E+04,0.47163890E+02,0.11377117E+02

0.272500000E+02,0.22370489E+04,0.47156014E+02,0.11377075E+02

0.275000000E+02,0.22370407E+04,0.47148164E+02,0.11377033E+02

0.277500000E+02,0.22370324E+04,0.47140339E+02,0.11376991E+02

0.280000000E+02,0.22370243E+04,0.47132538E+02,0.11376949E+02

0.282500000E+02,0.22370161E+04,0.47124761E+02,0.11376908E+02

0.285000000E+02,0.22370080E+04,0.47117009E+02,0.11376866E+02

0.287500000E+02,0.22369998E+04,0.47109281E+02,0.11376825E+02

0.290000000E+02,0.22369918E+04,0.47101576E+02,0.11376784E+02

0.292500000E+02,0.22369837E+04,0.47093895E+02,0.11376743E+02

0.295000000E+02,0.22369757E+04,0.47086236E+02,0.11376702E+02

0.297500000E+02,0.22369677E+04,0.47078601E+02,0.11376661E+02

0.300000000E+02,0.22369597E+04,0.47070988E+02,0.11376621E+02

0.302500000E+02,0.22369517E+04,0.47063398E+02,0.11376580E+02

0.305000000E+02,0.22369438E+04,0.47055830E+02,0.11376540E+02

0.307500000E+02,0.22369358E+04,0.47048284E+02,0.11376499E+02

0.310000000E+02,0.22369280E+04,0.47040760E+02,0.11376459E+02

0.312500000E+02,0.22369201E+04,0.47033258E+02,0.11376419E+02

0.315000000E+02,0.22369122E+04,0.47025776E+02,0.11376379E+02

0.317500000E+02,0.22369044E+04,0.47018316E+02,0.11376339E+02

0.320000000E+02,0.22368966E+04,0.47010877E+02,0.11376300E+02

0.322500000E+02,0.22368888E+04,0.47003459E+02,0.11376260E+02

0.325000000E+02,0.22368811E+04,0.46996061E+02,0.11376221E+02

0.327500000E+02,0.22368733E+04,0.46988684E+02,0.11376181E+02

0.330000000E+02,0.22368656E+04,0.46981326E+02,0.11376142E+02

0.332500000E+02,0.22368579E+04,0.46973989E+02,0.11376103E+02

0.335000000E+02,0.22368502E+04,0.46966672E+02,0.11376063E+02

0.337500000E+02,0.22368426E+04,0.46959374E+02,0.11376024E+02

0.340000000E+02,0.22368349E+04,0.46952095E+02,0.11375985E+02

0.342500000E+02,0.22368273E+04,0.46944836E+02,0.11375947E+02

0.345000000E+02,0.22368197E+04,0.46937596E+02,0.11375908E+02

0.347500000E+02,0.22368121E+04,0.46930375E+02,0.11375869E+02

0.350000000E+02,0.22368046E+04,0.46923173E+02,0.11375831E+02
